seasonal_name,seasonal_month,seasonal_image
아스파라거스,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000037&fileSn=1
죽순,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000036&fileSn=1
씀바귀,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000035&fileSn=1
오디,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000034&fileSn=1
쑥,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000033&fileSn=1
양배추,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000032&fileSn=1
머위,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000031&fileSn=1
쑥갓,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000030&fileSn=1
두릅,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000029&fileSn=1
방풍나물,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000028&fileSn=1
더덕,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000027&fileSn=1
마늘종,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000026&fileSn=1
냉이,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000025&fileSn=1
고구마순,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000024&fileSn=1
껍질콩(그린빈),4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000023&fileSn=1
세발나물,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000022&fileSn=1
비트,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000021&fileSn=1
고사리,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000020&fileSn=1
유채나물,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000019&fileSn=1
돌나물,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000017&fileSn=1
미나리,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000016&fileSn=1
달래,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000015&fileSn=1
딸기,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000014&fileSn=1
천혜향,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000012&fileSn=1
한라봉,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000011&fileSn=1
연근,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000010&fileSn=1
레몬,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000009&fileSn=1
시금치,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000008&fileSn=1
우엉,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000007&fileSn=1
감귤,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000006&fileSn=1
당근,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000005&fileSn=1
브로콜리,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000004&fileSn=1
콜라비,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000003&fileSn=1
콜리플라워,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000002&fileSn=1
키위,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000001&fileSn=1
