recipe_id,recipe_ingredient
7028171,"['갑오징어', '양파', '양배추', '당근', '대파', '고추', '진간장', '고춧가루', '설탕', '마늘', '고추장', '물', '참기름', '참깨']"
7028170,"['흰다리새우', '청주', '굵은소금', '식용유 약간']"
7028169,"['닭다리살 정육', '고구마', '양파', '당근채', '대파', '식용유', '진간장', '고추장', '고춧가루', '큐브 생강', '간 마늘', '맛술', '스테비아 설탕', '후춧가루', '올리고당', '참기름']"
7028168,"['양배추', '계란', '밀가루', '식용유', '소금', '후추', '마요네즈', '데리야끼소스']"
7028167,"['순대', '깻잎', '양파', '당근', '대파', '청양고추', '들깨가루', '통깨 약간', '고추장', '진간장', '맛술', '설탕', '고춧가루', '다진마늘', '참기름', '후춧가루 약간', '물']"
7028166,"['우동면', '돼지고기', '양파', '대파', '오이', '춘장', '간장', '설탕', '미원', '소금', '전분']"
7028165,"['새송이', '실파', '마늘', '버터', '간장', '굴소스', '알룰로스', '전분', '물', '미림']"
7028164,"['밀떡볶이', '계란', '어묵', '실파', '설탕', '굵은고춧가루', '고운고춧가루', '진간장', '고추장', '물']"
7028163,"['두부', '느타리버섯 (모든버섯가능 두부와 같은 양)', '코코넛오일', '소금', '후추 약간']"
7028162,"['무', '천일염', '물', '고춧가루', '마늘', '양파', '멸치액젓', '밥', '다시마멸치육수', '생강', '매실청']"
7028161,"['쌈케일', '밥', '소금', '설탕', '식초', '매운 카레', '깨 조금']"
7028160,"['청귤청', '위스키', '탄산수', '얼음 넉넉히']"
7028159,"['새송이버섯', '맛소금', '들기름']"
7028158,"['유부초밥', '밥', '양파', '오이', '크래미', '진미채볶음', '무말랭이무침', '마요네즈', '머스타드', '소금']"
7028157,"['슬라이스 치즈', '우유', '올리고당', '전분가루', '설탕', '버터', '계란']"
7028156,"['메밀면', '대파', '구운김', '다진마늘', '설탕', '간장', '쯔유', '들기름', '통깨']"
7028155,"['떡볶이 떡', '소고기', '어묵', '대파', '양파', '당근 약간', '홍고추', '물', '진간장', '맛술', '후춧가루 약간', '간장', '굴소스', '흑설탕', '올리고당', '다진마늘', '통깨 약간']"
7028154,"['갈비탕', '알 밤', '당근', '은행', '표고버섯', '대추', '대파 넉넉히', '검은깨 약간만', '간장', '다진마늘', '맛술', '생강가루', '설탕', '후춧가루 약간만', '참기름', '물']"
7028153,"['생닭', '가을무', '쪽파', '양파', '대파 넉넉히', '소금 조금 ', '통마늘']"
7028152,"['불린 미역', '물', '참치캔', '소금', '어간장', '참치액', '들기름', '청주', '마늘']"
7028151,"['돼지고기', '감자', '양파', '애호박', '대파', '물', '코인육수', '식용유', '소금 약간', '다진마늘', '고춧가루', '고추장', '참치액', '설탕', '간장', '식초', '후추 약간']"
7028150,"['방풍', '굵은소금', '국간장', '참치 액', '다진 대파', '다진 마늘', '참기름', '깨소금']"
7028149,"['막국수', '오이', '참깨', '김가루', '들기름', '맛간장', '설탕']"
7028148,"['갑오징어', '양배추', '애호박', '당근', '대파', '고춧기름', '참기름', '양념장', '데친콩나물', '김가루', '참기름', '밥', '갑오징어볶음 ', '남은양념장 ', '멸치육수', '밀떡', '고춧가루', '된장', '고추장', '양조간장', '멸치액젓', '매실액', '물엿', '다진마늘', '소주', '천연조미료 가루', '썬파']"
7028147,"['김장김치', '오이소박이 국물', '오이소박이', '볶음용멸치', '물', '마른 두부', '다진마늘', '대파', '멸치액젓']"
7028146,"['강력분', '이스트', '설탕', '꿀', '소금', '탈지분유', '달걀', '물', '우유', '커피엑기스', '버터', '건포도', '버터', '설탕', '소금', '달걀', '커피엑기스', '박력분', '베이킹소다', '베이킹파우더']"
7028145,"['감자', '소금', '설탕', '물']"
7028144,"['김치', '밥', '모짜렐라치즈', '설탕', '간장', '고추장', '참기름']"
7028143,"['두부', '베이컨', '계란', '피자치즈', '토마토소스']"
7028142,"['돼지갈비', '무', '당근', '양파', '감자', '대파', '청 홍고추', '물', '다진마늘', '설탕', '올리고당', '맛술', '간장', '후추', '생강', '설탕', '월계수잎']"
7028141,"['백미', '물', '치킨스톡', '버터', '리조또용 밥', '양파', '다진 마늘', '생크림', '치킨스톡', '잠봉', '무염버터', '이탈리안 파슬리', '후추 약간']"
7028140,"['애호박', '돼지고기목살', '양파', '대파', '홍고추', '청고추', '두부', '물', '다진마늘', '고추장', '고춧가루', '맛술', '새우젓', '후추', '참치액']"
7028139,"['잡채용 소고기', '두부', '부침가루', '식용유', '버섯', '파프리카', '당근', '양파', '간장', '설탕', '참기름', '통깨']"
7028138,"['통조림 옥수수', '양파', '감자', '버터', '체다치즈', '소금', '우유']"
7028137,"['둥지냉면', '숙주', '메추리알', '무순']"
7028136,"['오이 작은거', '양파', '생수', '소금', '설탕', '식초', '깨']"
7028135,"['닭가슴살', '두부', '시판 유부초밥']"
7028134,"['참치', '마요네즈', '두부', '당근', '계란', '오이', '맛살', '치즈', '김']"
7028133,"['국수면', '돼지고기', '숙주', '오이', '적양파', '파프리카', '무순', '달걀지단 ', '사과', '양파', '고추장', '고춧가루', '식초', '설탕', '올리고당', '간장', '레몬즙', '소금', '소금', '미림', '후추', '참기름', '소금', '참기름']"
7028132,"['가리비관자', '양파', '대파', '허브솔트', '다진마늘', '파슬리가루', '버터', '식용유']"
7028131,"['황태채', '무', '두부', '계란', '대파', '콩나물', '물', '참기름', '다진마늘', '식초', '국간장', '참치액', '소금']"
7028130,"['국수면', '청양고추', '계란', '사각어묵', '김치', '물', '멸치육수팩', '다진마늘', '설탕', '올리고당', '고춧가루', '양조간장', '물', '통깨 소량', '참기름', '김가루 소량 ( 기호껏)']"
7028129,"['비엔나소세지', '양파', '당근', '마늘', '후추 약간', '케챂', '간장', '설탕', '식초']"
7028128,"['콩나물', '홍고추', '대파 조금', '다진마늘', '고추가루', '소금 조금', '다시다 (취향껏)']"
7028127,"['오징어', '물', '코인육수', '무우', '다진대파', '국간장', '멸치액젓', '굵은소금', '다진마늘', '후추 조금']"
7028126,"['골든커리 순한맛', '돼지고기 목살', '물', '우유', '양파', '감자', '당근', '소금 소량 (돼지고기 밑간용)', '후추 소량 (돼지고기 밑간용)']"
7028125,"['계란', '부추', '가는소금', '후추 조금', '치킨스톡', '굴소스', '참기름', '깨소금 조금', '식용유']"
7028124,"['배추', '무', '소금', '액젓', '새우젓', '다진마늘', '생강가루 조금', '고추가루', '매실청', '파', '부추']"
7028123,"['백오이', '홍고추', '소금', '참기름', '통깨 조금', '소금 (취향것)']"
7028122,"['신김치', '참치', '두부', '대파', '물', '코인육수', '김치국물', '고춧가루']"
7028121,"['삭힌 마늘종', '고추장', '고추가루', '사과식초', '올리고당', '설탕 조금', '통깨 조금']"
7028120,"['데친 궁채나물', '다진마늘', '액젓', '굴소스', '들기름', '들깨가루', '물']"
7028119,"['마늘쫑', '소금', '식초', '고추장', '매실청', '올리고당', '참기름', '맛술', '통깨']"
7028118,"['통조림햄', '당근', '양파', '야채믹스', '자숙 완두콩', '땅콩기름', '매운맛 카레', '가람마살라', '강황가루', '물']"
7028117,"['오이', '양파', '홍고추', '식초', '설탕', '소금', '정수 물']"
7028116,"['완두콩', '삶는 물', '소금', '설탕']"
7028115,"['임연수', '무', '양파', '간장', '고추장', '고춧가루', '매실액', '맛술', '올리고당', '다진마늘', '후추 톡톡', '물']"
7028114,"['콩나물', '쌀', '신김치 ', '소고기 불고깃감', '양파', '키위', '다진 마늘', '간장', '설탕', '올리고당', '미림', '참기름', '소금', '통깨', '후추 약간', '부추', '간장', '게간장', '다진 마늘', '참기름', '고춧가루', '통깨', '올리고당 약간']"
7028113,"['황태채', '무', '두부', '콩나물', '대파', '계란', '청양고추', '다진 마늘', '국간장', '참치액', '굵은소금', '식초', '참기름', '물']"
7028112,"['닭', '감자', '양파', '당면 (기호에 따라)', '청양고추', '다진 마늘', '굴소스', '간장', '콜라', '인스턴트커피']"
7028111,"['닭고기', '설탕', '생수', '고춧가루', '다진마늘', '진간장', '올리고당', '맛술', '넙적당면', '라면사리', '청양고추']"
7028110,"['콩나물', '다진마늘', '고춧가루', '간장', '소금', '참기름', '통깨']"
7028109,"['바질', '간장', '고춧가루', '설탕', '참기름', '볶은통깨']"
7028108,"['두부', '콜리플라워', '두부', '간 흑임자', '마요네즈', '요거트', '레몬즙', '소금', '꿀']"
7028107,"['염장미역줄기', '햇양파', '홍고추', '올리브유', '생강술', '맛소금 조금', '참기름', '통깨 조금']"
7028106,"['가지', '양파', '청양고추', '참치액젓', '마늘', '참기름', '들기름', '통깨 적당히']"
7028105,"['가지', '양파', '밥', '버터', '쪽파', '참치액', '진간장', '설탕', '올리고당', '다진마늘', '고춧가루', '물']"
7028104,"['양배추', '당근', '양파', '홀그레인머스터드', '레몬즙', '마요네즈', '식초', '소금', '식초', '설탕']"
7028103,"['브로컬리', '양송이버섯', '당근', '대파', '멸치액젓', '진간장', '고추가루', '마늘', '들기름', '참기름', '통깨']"
7028102,"['초당옥수수', '물']"
7028101,"['오이', '참치캔', '밥', '김밥김', '마요네즈', '후춧가루', '참기름', '통깨', '식초', '올리고당', '소금']"
7028100,"['완숙토마토', '방울토마토', '마늘쫑', '마늘', '감자', '당근', '양파', '청경채', '빨강 파프리카', '노랑 파프리카', '베이크드빈', '토마토케첩', '구운 마늘가루', '후추 약간', '올리브오일']"
7028099,"['배추', '실파', '양파', '배즙', '찬밥', '새우젓', '멸치다시마육수', '마늘', '홍고추', '대파', '무', '멸치액젓', '매실청', '고춧가루', '소금', '굵은소금', '물']"
7028098,"['마늘쫑', '새우', '홍고추', '대파흰부분 조금', '미림', '참치액젓', '설탕', '참기름', '통깨']"
7028097,"['찹쌀', '삶은 수리취', '천일염', '설탕', '참기름 적당량', '콩고물 필요한만큼']"
7028096,"['오이', '참치캔', '청양고추', '김밥김', '밥', '와사비', '마요네즈', '후추']"
7028095,"['어묵바', '오이', '검정깨 약간', '홀그레인머스타드', '땅콩버터']"
7028094,"['생메밀면', '무', '청양고추', '생와사비 약간 (or 연겨자)', '생수', '쯔유간장', '도시락김', '방울토마토']"
7028093,"['오이', '노랑 파프리카', '빨간 파프리카', '미나리', '물', '천일염', '물', '천일염', '설탕', '배즙', '다진마늘', '다진 생강']"
7028091,"['계란', '물', '멸치 액젓', '다진 마늘', '대파', '고추', '소금 약간']"
7028090,"['열무', '부추', '양파', '청양고추', '소금물', '물', '밀가루', '물', '소금', '소금물', '홍고추', '마늘', '생강', '새우젓', '까나리 액젓', '설탕', '매실청', '배즙 음료', '고추가루']"
7028089,"['목살', '밥', '김장김치', '김치국물 약간', '참기름 취향껏 ']"
7028088,"['오이', '부추', '천일염', '액젓', '고추가루', '배즙 음료', '설탕', '다진마늘', '다진 생강']"
7028087,"['노란 파프리카', '빨간 파프리카', '상추', '양파', '씨겨자', '식초', '올리브오일', '매실청', '꿀', '소금 약간', '파스타면', '소금']"
